"AGED - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE. (BENEFICIARIES ENROLLED IN PARTS A AND/OR B EXCEPT FOR PUERTO RICO WHERE ENROLLED IN BOTH PARTS A AND B. REIMBURSEMENTS EXCLUDED FOR HOSPICE AND COST CONTRACTS. DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY)",,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,AGED AND DISABLED MEAN RISK SCORE
02060,ALASKA,BRISTOL BAY BOROUGH,568,"2,545,251",373.42,"2,450,386",359.50,"31,931","54,059","8,874",516,"1,881,235",303.82,0.782
02070,ALASKA,DILLINGHAM,439,"3,173,248",602.36,"3,085,657",585.74,"23,885","59,845","3,861",352,"1,423,202",336.93,0.893
02080,ALASKA,CORDOVA-MC CARTHY,268,"1,192,839",370.91,"1,159,844",360.65,"12,142","16,857","3,995",243,"1,046,275",358.80,0.715
02090,ALASKA,FAIRBANKS NORTH STAR,"7,039","22,969,514",271.93,"21,957,717",259.95,"373,069","562,354","76,373","6,267","23,616,168",314.03,0.789
02100,ALASKA,HAINES,433,"1,135,992",218.63,"1,074,842",206.86,"32,301","22,811","6,037",398,"1,689,840",353.82,0.784
02110,ALASKA,JUNEAU,"3,785","12,566,312",276.67,"11,912,230",262.27,"371,385","218,191","64,504","3,408","13,048,058",319.05,0.800
02120,ALASKA,KENAI-COOK INLET DIVISION,"7,157","27,736,618",322.95,"26,907,918",313.31,"324,147","433,476","71,074","6,505","28,976,663",371.21,0.841
02130,ALASKA,KETCHIKAN GATEWAY,"1,780","7,311,924",342.32,"6,991,840",327.33,"199,247","79,028","41,807","1,617","7,952,119",409.82,0.894
02140,ALASKA,KOBUK,444,"3,537,701",663.98,"3,450,128",647.55,"2,009","84,914",649,344,"1,789,189",433.43,0.901
02150,ALASKA,KODIAK ISLAND BOROUGH,787,"3,413,484",361.44,"3,338,612",353.52,"26,819","43,415","4,636",677,"3,806,469",468.55,0.753
02160,ALASKA,KUSKOKWIN,213,"944,004",369.33,"866,704",339.09,"33,782","38,483","5,033",153,"724,815",394.78,0.811
02170,ALASKA,MATANUSKA-SUSITNA,"7,935","29,204,040",306.70,"28,240,057",296.58,"298,550","607,715","57,716","7,139","29,049,163",339.09,0.877
02180,ALASKA,NOME,635,"3,746,800",491.71,"3,644,386",478.27,"7,850","92,824","1,739",493,"3,833,607",648.01,0.841
02190,ALASKA,OUTER KETCHIKAN DIVISION,211,"1,147,484",453.19,"1,067,569",421.63,"42,471","25,879","11,563",169,"690,021",340.25,0.934
02200,ALASKA,PRINCE OF WALES,375,"1,011,917",224.87,"967,420",214.98,"22,595","14,009","7,892",325,"1,543,505",395.77,0.934
02210,ALASKA,SEWARD,620,"2,343,132",314.94,"2,245,981",301.88,"38,060","49,600","9,490",557,"2,379,116",355.94,0.841
02220,ALASKA,SITKA BOROUGH,"1,062","4,685,104",367.63,"4,461,263",350.07,"120,450","74,134","29,256",940,"6,065,332",537.71,0.902
02230,ALASKA,SKAGWAY-YAKUTAT,473,"1,241,300",218.69,"1,174,912",207.00,"21,291","39,681","5,415",427,"1,333,268",260.20,0.724
02240,ALASKA,SOUTHEAST FAIRBANKS,559,"2,115,000",315.30,"2,029,508",302.55,"22,006","57,112","6,374",508,"2,401,861",394.01,0.870
02250,ALASKA,UPPER YUKON,198,"681,752",286.93,"656,793",276.43,"3,988","19,620","1,349",173,"617,364",297.38,0.864
02260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,993,"3,781,881",317.38,"3,625,839",304.28,"71,877","73,703","10,460",849,"2,851,045",279.84,0.715
02270,ALASKA,WADE HAMPTON,418,"2,668,308",531.96,"2,545,223",507.42,"21,797","97,608","3,678",349,"1,569,081",374.66,0.967
02280,ALASKA,WRANGELL-PETERSBURG CENSUS ARE,930,"5,804,241",520.09,"5,574,322",499.49,"134,314","74,559","21,044",861,"4,333,505",419.43,0.832
02290,ALASKA,YUKON-KOYUKUK,544,"1,600,865",245.23,"1,549,149",237.31,"7,134","42,335","2,245",473,"1,511,936",266.37,0.816
