"AGED -- 2010 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) ",,,,,,,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
BENEFICIARIES ENROLLED IN PARTS A AND/OR B  ,,,,,,,,,,,,,,
PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY,,,,,,,,,,,,,,
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES
01440,ALABAMA                  ,MADISON,"36,555","127,586,071",290.85,"117,632,017",268.16,"1,679,272","7,728,870","545,910","33,544","142,176,701",353.21,0.946
01450,ALABAMA                  ,MARENGO,"2,465","9,385,132",317.28,"8,431,622",285.04,"139,888","746,298","67,322","2,432","9,240,256",316.62,0.965
01460,ALABAMA                  ,MARION,"4,424","18,680,621",351.88,"17,279,351",325.49,"209,965","1,101,463","89,841","4,295","18,263,510",354.36,0.987
01470,ALABAMA                  ,MARSHALL,"12,530","54,910,935",365.20,"50,530,526",336.06,"486,347","3,696,642","197,419","11,818","52,382,606",369.37,1.005
01480,ALABAMA                  ,MOBILE,"31,975","113,174,868",294.96,"105,501,527",274.96,"1,411,568","5,471,388","790,383","29,749","122,771,250",343.91,0.950
01490,ALABAMA                  ,MONROE,"2,671","10,504,686",327.74,"9,714,660",303.09,"119,595","638,952","31,478","2,571","10,633,379",344.66,0.912
01500,ALABAMA                  ,MONTGOMERY,"20,786","81,739,442",327.70,"71,351,946",286.06,"1,236,410","8,757,779","393,305","19,188","81,392,376",353.49,0.927
01510,ALABAMA                  ,MORGAN,"15,945","62,012,233",324.09,"57,148,138",298.67,"657,652","4,010,866","195,576","15,147","65,221,335",358.82,0.999
01520,ALABAMA                  ,PERRY,"1,334","5,489,099",342.90,"4,567,116",285.30,"129,684","729,930","62,367","1,288","5,436,339",351.73,0.975
01530,ALABAMA                  ,PICKENS,"2,833","13,550,071",398.58,"12,241,683",360.09,"156,800","1,086,737","64,850","2,766","12,573,085",378.80,0.964
01540,ALABAMA                  ,PIKE,"3,387","13,467,130",331.34,"12,006,913",295.42,"147,339","1,265,265","47,612","3,223","12,815,260",331.35,0.903
01550,ALABAMA                  ,RANDOLPH,"3,180","12,665,831",331.91,"11,695,848",306.49,"121,895","807,489","40,598","3,102","12,526,891",336.53,0.948
01560,ALABAMA                  ,RUSSELL,"6,285","25,094,705",332.73,"22,879,515",303.36,"209,655","1,896,877","108,657","6,002","24,027,702",333.61,1.008
