"AGED -- 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B, PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY, REIMBURSEMENTS FOR HOSPICE AND COST CONTRACTS EXCLUDED",,,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,,,
01450,ALABAMA                  ,MARENGO                ,"2,592","10,481,406",336.98,"9,389,012",301.86,"218,413","803,608","70,371","2,517","10,323,442",341.79,0.945,,,,,,
01460,ALABAMA                  ,MARION                 ,"4,535","17,964,003",330.10,"16,678,798",306.48,"218,903","992,616","73,684","4,402","20,482,705",387.75,0.982,,,,,,
01470,ALABAMA                  ,MARSHALL               ,"13,512","55,567,550",342.70,"50,257,449",309.96,"580,428","4,520,944","208,728","12,709","59,941,729",393.04,0.984,,,,,,
01480,ALABAMA                  ,MOBILE                 ,"32,771","112,274,053",285.50,"103,650,046",263.57,"1,634,289","6,154,952","834,764","30,091","131,363,655",363.80,0.958,,,,,,
01490,ALABAMA                  ,MONROE                 ,"2,829","10,930,579",321.98,"10,035,921",295.63,"156,549","698,065","40,044","2,734","11,820,362",360.29,0.920,,,,,,
01500,ALABAMA                  ,MONTGOMERY             ,"21,744","79,694,298",305.43,"69,862,616",267.75,"1,331,415","8,110,355","389,910","19,817","85,359,929",358.95,0.935,,,,,,
01510,ALABAMA                  ,MORGAN                 ,"17,182","58,687,829",284.64,"53,544,964",259.70,"781,752","4,189,436","171,676","16,235","72,263,582",370.92,0.975,,,,,,
01520,ALABAMA                  ,PERRY                  ,"1,336","5,956,269",371.52,"5,154,969",321.54,"141,934","603,568","55,797","1,284","5,497,451",356.79,1.008,,,,,,
01530,ALABAMA                  ,PICKENS                ,"2,969","12,453,616",349.55,"11,265,032",316.18,"213,138","899,754","75,690","2,877","12,678,917",367.25,0.959,,,,,,
01540,ALABAMA                  ,PIKE                   ,"3,555","12,682,693",297.30,"11,374,247",266.63,"181,160","1,076,446","50,839","3,331","15,397,510",385.21,0.906,,,,,,
01550,ALABAMA                  ,RANDOLPH               ,"3,285","10,878,353",275.96,"9,868,178",250.33,"106,514","866,071","37,588","3,178","12,552,547",329.15,0.963,,,,,,
01560,ALABAMA                  ,RUSSELL                ,"6,530","24,016,547",306.49,"21,798,124",278.18,"233,161","1,873,005","112,255","6,187","25,394,116",342.04,0.991,,,,,,
01570,ALABAMA                  ,ST. CLAIR              ,"6,019","22,771,516",315.27,"20,772,719",287.60,"574,245","1,045,470","379,082","5,494","24,243,674",367.73,0.941,,,,,,
01580,ALABAMA                  ,SHELBY                 ,"9,784","35,006,161",298.16,"32,252,826",274.71,"658,078","1,856,846","238,408","8,802","41,274,560",390.77,0.899,,,,,,
01590,ALABAMA                  ,SUMTER                 ,"1,663","8,481,394",425.00,"7,712,406",386.47,"108,458","629,674","30,853","1,639","6,772,694",344.35,0.931,,,,,,
01600,ALABAMA                  ,TALLADEGA              ,"9,086","35,870,593",328.99,"31,948,293",293.02,"590,005","3,064,287","268,006","8,655","37,644,304",362.45,0.957,,,,,,
01610,ALABAMA                  ,TALLAPOOSA             ,"6,253","23,648,558",315.16,"21,258,390",283.31,"299,269","2,007,968","82,930","5,990","29,453,725",409.76,0.965,,,,,,
01620,ALABAMA                  ,TUSCALOOSA             ,"19,147","85,532,334",372.26,"75,406,623",328.19,"2,186,988","7,097,513","841,209","17,924","80,735,837",375.36,0.960,,,,,,
01630,ALABAMA                  ,WALKER                 ,"8,883","39,308,376",368.76,"34,916,710",327.56,"1,040,994","2,790,768","559,903","8,496","40,454,131",396.80,1.058,,,,,,
01640,ALABAMA                  ,WASHINGTON             ,"2,343","9,313,818",331.26,"8,691,253",309.12,"110,277","460,449","51,838","2,270","10,718,286",393.48,0.903,,,,,,
01650,ALABAMA                  ,WILCOX                 ,"1,601","6,174,662",321.40,"5,376,526",279.85,"116,922","635,138","46,075","1,559","5,430,442",290.27,0.950,,,,,,
01660,ALABAMA                  ,WINSTON                ,"3,831","16,594,471",360.97,"14,973,688",325.71,"286,460","1,201,525","132,799","3,662","15,872,539",361.20,1.040,,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS      ,310,"1,224,802",329.25,"1,032,337",277.51,"2,045","189,646",773,206,"802,625",324.69,0.769,,,,,,
02020,ALASKA                   ,ANCHORAGE              ,"23,820","78,108,210",273.26,"66,733,309",233.46,"1,353,145","9,650,602","371,153","20,791","74,346,829",297.99,0.831,,,,,,
02040,ALASKA                   ,BARROW DIVISION        ,349,"2,445,133",583.84,"2,167,167",517.47,"20,509","254,923","2,533",270,"1,500,350",463.07,0.937,,,,,,
02050,ALASKA                   ,BETHEL                 ,719,"3,456,935",400.66,"2,921,794",338.64,"5,354","528,776","1,010",600,"2,261,887",314.15,0.794,,,,,,
02060,ALASKA                   ,BRISTOL BAY            ,576,"1,637,178",236.86,"1,440,167",208.36,"11,049","182,167","3,794",520,"1,508,559",241.76,0.780,,,,,,
02070,ALASKA                   ,DILLINGHAM             ,432,"4,665,294",899.94,"4,348,037",838.74,"3,175","312,823","1,258",351,"1,485,483",352.68,0.868,,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY      ,235,"682,695",242.09,"600,496",212.94,"8,467","71,157","2,574",213,"985,360",385.51,,,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR   ,"6,324","24,590,863",324.04,"22,111,541",291.37,"317,886","2,082,444","78,990","5,673","20,674,823",303.70,0.778,,,,,,
02100,ALASKA                   ,HAINES                 ,391,"1,252,457",266.93,"1,095,061",233.39,"39,102","110,433","7,858",365,"1,664,095",379.93,0.806,,,,,,
02110,ALASKA                   ,JUNEAU                 ,"3,378","11,474,109",283.06,"10,585,622",261.14,"283,453","539,857","65,176","3,046","11,379,190",311.32,0.796,,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISI,"6,330","22,140,225",291.47,"19,909,031",262.10,"311,935","1,854,880","64,377","5,836","24,667,146",352.23,0.819,,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY      ,"1,567","6,891,972",366.52,"6,326,208",336.43,"199,307","326,209","40,247","1,424","6,435,282",376.60,0.847,,,,,,
02140,ALASKA                   ,KOBUK                  ,409,"3,109,274",633.51,"2,849,919",580.67,"9,895","247,268","2,190",315,"2,203,900",583.04,0.913,,,,,,
02150,ALASKA                   ,KODIAK ISLAND          ,663,"2,740,483",344.45,"2,575,557",323.73,"21,760","138,203","4,962",568,"2,624,152",385.00,0.780,,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION     ,200,"686,312",285.96,"554,031",230.85,"11,583","117,054","3,643",140,"483,087",287.55,,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA      ,"6,982","23,412,690",279.44,"21,108,334",251.94,"195,919","2,057,919","50,516","6,319","23,657,266",311.99,0.850,,,,,,
02180,ALASKA                   ,NOME                   ,602,"3,888,012",538.21,"3,439,881",476.17,"11,488","428,106","8,536",481,"2,521,918",436.92,0.741,,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISIO,205,"1,083,619",440.50,"935,574",380.31,"12,400","132,427","3,217",171,"729,393",355.45,0.911,,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISIO,336,"1,137,073",282.01,"1,014,121",251.52,"22,118","93,587","7,246",294,"1,458,507",413.41,,,,,,,
02210,ALASKA                   ,SEWARD                 ,569,"2,571,297",376.58,"2,327,311",340.85,"24,033","213,412","6,540",517,"2,292,140",369.46,,,,,,,
02220,ALASKA                   ,SITKA                  ,"1,027","5,256,495",426.53,"4,768,716",386.95,"156,534","290,143","41,101",903,"5,995,262",553.27,0.893,,,,,,
02230,ALASKA                   ,SKAGWAY                ,396,"998,270",210.07,"878,314",184.83,"21,519","94,813","3,623",361,"1,115,223",257.44,0.783,,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS    ,519,"1,701,628",273.22,"1,516,923",243.57,"13,440","166,042","5,221",480,"1,489,388",258.57,0.785,,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION   ,172,"750,671",363.70,"667,308",323.31,"3,618","78,437","1,306",151,"511,634",282.36,,,,,,,
