"AGED -- 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) , FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B , PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY, REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,
01620,ALABAMA,TUSCALOOSA,"18,580","82,477,163",369.92,"73,757,633",330.81,"2,149,299","5,679,958","890,272","17,542","77,540,522",368.36,0.969,,,,
01630,ALABAMA,WALKER,"8,696","39,042,991",374.15,"34,672,266",332.26,"1,106,592","2,626,233","637,899","8,350","39,098,536",390.20,1.045,,,,
01640,ALABAMA,WASHINGTON,"2,301","7,537,159",272.97,"7,018,578",254.19,"72,230","405,893","40,457","2,236","9,098,245",339.08,0.907,,,,
01650,ALABAMA,WILCOX,"1,589","6,687,670",350.73,"5,647,754",296.19,"186,956","787,966","64,991","1,550","5,609,841",301.60,0.905,,,,
01660,ALABAMA,WINSTON,"3,706","15,706,836",353.18,"14,182,475",318.91,"280,500","1,111,611","132,248","3,548","15,509,596",364.28,1.031,,,,
02010,ALASKA,ALEUTIAN ISLANDS,291,"757,918",217.04,"591,460",169.38,"13,755","148,715","3,987",191,"682,020",297.57,0.716,,,,
02020,ALASKA,ANCHORAGE,"22,268","77,674,543",290.68,"67,172,978",251.38,"1,210,654","8,902,686","388,224","19,579","67,715,294",288.21,0.821,,,,
02040,ALASKA,BARROW-NORTH SLOPE,333,"2,257,968",565.06,"1,970,882",493.21,"1,610","284,928",547,263,"1,385,507",439.01,0.918,,,,
02050,ALASKA,BETHEL,701,"2,790,057",331.68,"2,321,021",275.92,"2,577","465,741",717,581,"2,112,353",302.98,0.813,,,,
02060,ALASKA,BRISTOL BAY,568,"2,478,449",363.62,"2,206,996",323.80,"18,980","247,972","4,499",512,"1,719,298",279.83,0.773,,,,
02070,ALASKA,DILLINGHAM,421,"2,990,378",591.92,"2,739,894",542.34,"14,418","233,640","2,424",344,"1,077,769",261.09,0.851,,,,
02080,ALASKA,CORDOVA-MC CARTHY,222,"817,257",306.78,"735,241",275.99,"11,625","65,751","4,638",199,"890,597",372.95,0.000,,,,
02090,ALASKA,FAIRBANKS NORTH STAR,"5,943","25,570,249",358.55,"23,137,465",324.44,"214,416","2,162,836","55,529","5,371","19,749,341",306.42,0.777,,,,
02100,ALASKA,HAINES,373,"1,825,794",407.91,"1,647,352",368.04,"28,565","141,745","8,130",351,"1,785,464",423.90,0.853,,,,
02110,ALASKA,JUNEAU,"3,156","12,572,230",331.97,"11,574,291",305.62,"233,932","709,917","54,090","2,843","10,620,309",311.30,0.819,,,,
02120,ALASKA,KENAI-COOK INLET,"5,880","25,052,957",355.06,"22,759,985",322.56,"270,912","1,959,038","63,020","5,453","23,185,669",354.33,0.796,,,,
02130,ALASKA,KETCHIKAN GATEWAY,"1,469","7,199,076",408.39,"6,619,678",375.52,"191,436","345,024","42,936","1,346","6,325,576",391.63,0.866,,,,
02140,ALASKA,KOBUK,400,"2,977,128",620.24,"2,687,064",559.81,"1,258","288,308",496,300,"2,077,776",577.16,0.906,,,,
02150,ALASKA,KODIAK ISLAND,597,"2,151,777",300.36,"2,016,268",281.44,"20,570","109,549","5,389",513,"1,773,055",288.02,0.811,,,,
02160,ALASKA,KUSKOKWIN,198,"1,076,411",453.03,"846,026",356.07,"9,344","219,235","1,805",148,"642,306",361.66,0.000,,,,
02170,ALASKA,MATANUSKA-SUSITNA,"6,497","24,989,609",320.53,"22,658,453",290.63,"211,071","2,069,216","50,867","5,904","21,976,764",310.20,0.853,,,,
02180,ALASKA,NOME,586,"3,067,481",436.22,"2,703,782",384.50,"6,422","354,611","2,665",472,"2,417,986",426.90,0.778,,,,
02190,ALASKA,OUTER KETCHIKAN,196,"810,828",344.74,"696,507",296.13,"14,547","95,714","4,058",164,"639,183",324.79,0.938,,,,
02200,ALASKA,PRINCE OF WALES,327,"1,145,128",291.83,"989,299",252.11,"53,408","89,804","12,616",290,"1,489,509",428.02,0.000,,,,
02210,ALASKA,SEWARD,538,"2,364,917",366.31,"2,182,033",337.99,"26,389","147,092","9,402",492,"2,075,809",351.59,0.000,,,,
02220,ALASKA,SITKA,972,"5,033,047",431.50,"4,630,441",396.99,"101,519","280,291","20,794",858,"5,141,058",499.33,0.883,,,,
02230,ALASKA,SKAGWAY-YAKUTAT,365,"1,558,522",355.83,"1,358,918",310.26,"37,541","155,607","6,455",336,"1,143,993",283.73,0.709,,,,
02240,ALASKA,SOUTHEAST FAIRBANKS,508,"2,040,282",334.69,"1,832,182",300.55,"10,804","193,862","3,433",476,"1,738,466",304.35,0.753,,,,
02250,ALASKA,UPPER YUKON,163,"825,484",422.03,"747,857",382.34,"3,370","73,852",404,142,"434,600",255.05,0.000,,,,
02260,ALASKA,VALDEZ-CHITNA-WHITIER,801,"4,084,703",424.96,"3,742,115",389.32,"42,203","286,971","13,414",701,"2,339,961",278.17,0.760,,,,
02270,ALASKA,WADE HAMPTON,400,"1,985,443",413.63,"1,653,895",344.56,"2,138","329,115",293,341,"1,669,948",408.10,0.862,,,,
02280,ALASKA,WRANGELL-PETERSBURG,785,"3,939,353",418.19,"3,597,265",381.88,"107,315","208,292","26,480",740,"4,159,452",468.41,0.868,,,,
02290,ALASKA,YUKON-KOYUKUK,492,"2,391,372",405.04,"2,167,029",367.04,"6,080","216,356","1,905",439,"1,685,732",319.99,0.745,,,,
03000,ARIZONA,APACHE,"6,458","29,165,759",376.35,"25,794,616",332.85,"424,132","2,790,474","156,535","6,071","23,661,462",324.79,0.893,,,,
03010,ARIZONA,COCHISE,"15,916","61,875,077",323.97,"53,891,573",282.17,"2,054,064","5,193,152","736,287","14,703","57,769,548",327.42,0.894,,,,
03020,ARIZONA,COCONINO,"13,146","50,497,681",320.11,"44,660,113",283.10,"341,601","5,358,564","137,401","12,342","47,838,198",323.00,0.845,,,,
03030,ARIZONA,GILA,"10,106","44,341,820",365.64,"39,155,213",322.87,"853,044","3,935,061","398,501","9,576","43,675,938",380.08,0.943,,,,
03040,ARIZONA,GRAHAM,"2,903","10,605,259",304.43,"9,530,690",273.59,"173,523","834,442","66,603","2,731","9,810,753",299.36,0.857,,,,
03050,ARIZONA,GREENLEE,733,"3,508,452",398.87,"3,144,686",357.51,"54,308","287,652","21,805",697,"2,669,040",319.11,0.799,,,,
03055,ARIZONA,LA PAZ,"3,576","15,522,392",361.73,"14,044,389",327.28,"193,193","1,174,982","109,827","3,291","13,756,380",348.33,0.931,,,,
03060,ARIZONA,MARICOPA,"251,440","925,998,348",306.90,"832,030,038",275.75,"15,212,421","70,240,967","8,514,920","226,286","1,046,146,273",385.26,0.916,,,,
03070,ARIZONA,MOHAVE,"33,379","135,265,888",337.70,"121,648,895",303.71,"2,099,129","10,685,182","832,681","31,533","129,311,108",341.73,0.948,,,,
03080,ARIZONA,NAVAJO,"11,359","43,394,450",318.36,"38,434,731",281.97,"481,100","4,235,986","242,631","10,788","42,302,258",326.77,0.854,,,,
03090,ARIZONA,PIMA,"83,288","271,216,069",271.36,"234,763,304",234.89,"8,728,557","24,276,813","3,447,395","74,717","312,278,997",348.29,0.891,,,,
03100,ARIZONA,PINAL,"22,928","84,579,015",307.41,"75,703,287",275.15,"971,482","7,458,866","445,379","20,874","90,755,239",362.31,0.888,,,,
03110,ARIZONA,SANTA CRUZ,"3,468","8,256,686",198.40,"6,945,246",166.89,"291,899","901,518","118,022","3,104","9,847,622",264.38,0.773,,,,
03120,ARIZONA,YAVAPAI,"37,271","126,260,250",282.30,"116,091,891",259.57,"1,003,023","8,712,611","452,724","34,782","139,046,051",333.14,0.891,,,,
03130,ARIZONA,YUMA,"19,119","74,568,379",325.02,"67,277,120",293.24,"852,748","6,143,487","295,023","18,027","74,365,455",343.77,0.961,,,,
04000,ARKANSAS,ARKANSAS,"2,873","11,132,022",322.89,"10,222,084",296.50,"92,408","774,665","42,864","2,688","10,866,499",336.88,0.961,,,,
04010,ARKANSAS,ASHLEY,"3,217","14,937,496",386.94,"13,956,579",361.53,"147,248","763,410","70,258","3,091","13,364,032",360.29,0.947,,,,
04020,ARKANSAS,BAXTER,"9,171","34,047,040",309.37,"32,146,161",292.10,"220,436","1,615,720","64,722","8,842","30,996,925",292.14,0.956,,,,
04030,ARKANSAS,BENTON,"18,532","65,992,465",296.75,"61,762,744",277.73,"508,654","3,534,841","186,225","17,017","66,416,435",325.25,0.933,,,,
04040,ARKANSAS,BOONE,"6,096","22,745,403",310.93,"20,861,692",285.18,"156,919","1,671,221","55,569","5,770","20,144,348",290.94,0.923,,,,
04050,ARKANSAS,BRADLEY,"1,723","8,436,053",408.01,"8,025,445",388.15,"52,761","330,325","27,521","1,663","8,548,757",428.38,1.040,,,,
04060,ARKANSAS,CALHOUN,663,"2,547,317",320.18,"2,378,160",298.91,"21,695","138,136","9,325",630,"2,702,544",357.48,0.954,,,,
04070,ARKANSAS,CARROLL,"3,706","11,053,539",248.55,"10,376,154",233.32,"121,277","515,832","40,274","3,455","11,749,946",283.40,0.846,,,,
